rank,username,followers,eligible,sim_raw,eng_raw,sim_norm,eng_norm,spam_ratio,rt_ratio,core_hit_ratio,score,error
222,jburnmurdoch,477879,True,0.000000,0.000000,0.000000,0.000000,0.000,0.000,0.000,-1000000000.000000,low_political_relevance
223,EthanZ,56423,False,0.000000,0.000000,0.000000,0.000000,0.000,0.000,0.000,-1000000000.000000,followers_below_threshold
224,guardiannews,3670426,True,0.000000,0.000000,0.000000,0.000000,0.000,0.000,0.000,-1000000000.000000,low_political_relevance
225,TIME,18470809,True,0.000000,0.000000,0.000000,0.000000,0.000,0.000,0.000,-1000000000.000000,low_political_relevance
226,EdwardGLuce,130986,False,0.000000,0.000000,0.000000,0.000000,0.000,0.000,0.000,-1000000000.000000,followers_below_threshold
227,IlvesToomas,188114,False,0.000000,0.000000,0.000000,0.000000,0.000,0.000,0.000,-1000000000.000000,followers_below_threshold
228,MattBruenig,186650,False,0.000000,0.000000,0.000000,0.000000,0.000,0.000,0.000,-1000000000.000000,followers_below_threshold
229,krystalball,611740,True,0.000000,0.000000,0.000000,0.000000,0.000,0.000,0.000,-1000000000.000000,low_political_relevance
230,ryangrim,463478,True,0.000000,0.000000,0.000000,0.000000,0.000,0.000,0.000,-1000000000.000000,low_political_relevance
231,NYCMayor,1752806,True,0.000000,0.000000,0.000000,0.000000,0.000,0.000,0.000,-1000000000.000000,low_political_relevance
232,MattZeitlin,72469,False,0.000000,0.000000,0.000000,0.000000,0.000,0.000,0.000,-1000000000.000000,followers_below_threshold
233,jbouie,389536,True,0.000000,0.000000,0.000000,0.000000,0.000,0.000,0.000,-1000000000.000000,low_political_relevance
234,sarahkliff,125227,False,0.000000,0.000000,0.000000,0.000000,0.000,0.000,0.000,-1000000000.000000,followers_below_threshold
235,BenjySarlin,123329,False,0.000000,0.000000,0.000000,0.000000,0.000,0.000,0.000,-1000000000.000000,followers_below_threshold
236,JerusalemDemsas,44704,False,0.000000,0.000000,0.000000,0.000000,0.000,0.000,0.000,-1000000000.000000,followers_below_threshold
237,eosnos,88268,False,0.000000,0.000000,0.000000,0.000000,0.000,0.000,0.000,-1000000000.000000,followers_below_threshold
238,BarakRavid,403609,True,0.000000,0.000000,0.000000,0.000000,0.000,0.000,0.000,-1000000000.000000,low_political_relevance
239,bill_easterly,117394,False,0.000000,0.000000,0.000000,0.000000,0.000,0.000,0.000,-1000000000.000000,followers_below_threshold
240,fmanjoo,169105,False,0.000000,0.000000,0.000000,0.000000,0.000,0.000,0.000,-1000000000.000000,followers_below_threshold
241,michelleinbklyn,104189,False,0.000000,0.000000,0.000000,0.000000,0.000,0.000,0.000,-1000000000.000000,followers_below_threshold
242,LawDavF,122252,False,0.000000,0.000000,0.000000,0.000000,0.000,0.000,0.000,-1000000000.000000,followers_below_threshold
243,SenSanders,11648294,True,0.000000,0.000000,0.000000,0.000000,0.000,0.000,0.000,-1000000000.000000,low_political_relevance
244,BorisJohnson,4550138,True,0.000000,0.000000,0.000000,0.000000,0.000,0.000,0.000,-1000000000.000000,low_political_relevance
245,HuffPost,9971681,True,0.000000,0.000000,0.000000,0.000000,0.000,0.000,0.000,-1000000000.000000,low_political_relevance
246,faisalislam,367833,True,0.000000,0.000000,0.000000,0.000000,0.000,0.000,0.000,-1000000000.000000,low_political_relevance
247,jordanbpeterson,6166185,True,0.000000,0.000000,0.000000,0.000000,0.000,0.000,0.000,-1000000000.000000,low_political_relevance
248,Kasparov63,1076491,True,0.000000,0.000000,0.000000,0.000000,0.000,0.000,0.000,-1000000000.000000,low_political_relevance
249,JustinWolfers,289295,True,0.000000,0.000000,0.000000,0.000000,0.000,0.000,0.000,-1000000000.000000,low_political_relevance
250,stephenWalt,113221,False,0.000000,0.000000,0.000000,0.000000,0.000,0.000,0.000,-1000000000.000000,followers_below_threshold
251,aterkel,92329,False,0.000000,0.000000,0.000000,0.000000,0.000,0.000,0.000,-1000000000.000000,followers_below_threshold
252,AlexThomp,107623,False,0.000000,0.000000,0.000000,0.000000,0.000,0.000,0.000,-1000000000.000000,followers_below_threshold
253,VivekGRamaswamy,3607112,True,0.000000,0.000000,0.000000,0.000000,0.000,0.000,0.000,-1000000000.000000,low_political_relevance
254,samstein,489551,True,0.000000,0.000000,0.000000,0.000000,0.000,0.000,0.000,-1000000000.000000,low_political_relevance
255,IChotiner,108696,False,0.000000,0.000000,0.000000,0.000000,0.000,0.000,0.000,-1000000000.000000,followers_below_threshold
256,joerogan,15455659,True,0.000000,0.000000,0.000000,0.000000,0.000,0.000,0.000,-1000000000.000000,low_political_relevance
257,fshakir,99309,False,0.000000,0.000000,0.000000,0.000000,0.000,0.000,0.000,-1000000000.000000,followers_below_threshold
258,jeremyscahill,401974,True,0.000000,0.000000,0.000000,0.000000,0.000,0.000,0.000,-1000000000.000000,low_political_relevance
259,attackerman,144594,False,0.000000,0.000000,0.000000,0.000000,0.000,0.000,0.000,-1000000000.000000,followers_below_threshold
260,KatrinaNation,156667,False,0.000000,0.000000,0.000000,0.000000,0.000,0.000,0.000,-1000000000.000000,followers_below_threshold
261,thenation,1153387,True,0.000000,0.000000,0.000000,0.000000,0.000,0.000,0.000,-1000000000.000000,low_political_relevance
262,RyanLizza,239635,True,0.000000,0.000000,0.000000,0.000000,0.000,0.000,0.000,-1000000000.000000,low_political_relevance
263,HuffPostPol,1285550,True,0.000000,0.000000,0.000000,0.000000,0.000,0.000,0.000,-1000000000.000000,low_political_relevance
264,VanJones68,869206,True,0.000000,0.000000,0.000000,0.000000,0.000,0.000,0.000,-1000000000.000000,low_political_relevance
265,NaomiAKlein,639571,True,0.000000,0.000000,0.000000,0.000000,0.000,0.000,0.000,-1000000000.000000,low_political_relevance
266,HeerJeet,211192,True,0.000000,0.000000,0.000000,0.000000,0.000,0.000,0.000,-1000000000.000000,low_political_relevance
267,AdamSerwer,294335,True,0.000000,0.000000,0.000000,0.000000,0.000,0.000,0.000,-1000000000.000000,low_political_relevance
268,StephenAtHome,16677024,True,0.000000,0.000000,0.000000,0.000000,0.000,0.000,0.000,-1000000000.000000,low_political_relevance
269,TimAlberta,165043,False,0.000000,0.000000,0.000000,0.000000,0.000,0.000,0.000,-1000000000.000000,followers_below_threshold
270,democracynow,798129,True,0.000000,0.000000,0.000000,0.000000,0.000,0.000,0.000,-1000000000.000000,low_political_relevance
271,BeschlossDC,788205,True,0.000000,0.000000,0.000000,0.000000,0.000,0.000,0.000,-1000000000.000000,low_political_relevance
272,JohnJHarwood,505698,True,0.000000,0.000000,0.000000,0.000000,0.000,0.000,0.000,-1000000000.000000,low_political_relevance
273,Yascha_Mounk,126070,False,0.000000,0.000000,0.000000,0.000000,0.000,0.000,0.000,-1000000000.000000,followers_below_threshold
274,RonaldKlain,292463,True,0.000000,0.000000,0.000000,0.000000,0.000,0.000,0.000,-1000000000.000000,low_political_relevance
275,zeynep,382857,True,0.000000,0.000000,0.000000,0.000000,0.000,0.000,0.000,-1000000000.000000,low_political_relevance
276,FranklinFoer,60577,False,0.000000,0.000000,0.000000,0.000000,0.000,0.000,0.000,-1000000000.000000,followers_below_threshold
277,PreetBharara,1549983,True,0.000000,0.000000,0.000000,0.000000,0.000,0.000,0.000,-1000000000.000000,low_political_relevance
278,HC_Richardson,365203,True,0.000000,0.000000,0.000000,0.000000,0.000,0.000,0.000,-1000000000.000000,low_political_relevance
279,juliaioffe,363057,True,0.000000,0.000000,0.000000,0.000000,0.000,0.000,0.000,-1000000000.000000,low_political_relevance
280,BBCNews,15040965,True,0.000000,0.000000,0.000000,0.000000,0.000,0.000,0.000,-1000000000.000000,low_political_relevance
281,IngrahamAngle,5291162,True,0.000000,0.000000,0.000000,0.000000,0.000,0.000,0.000,-1000000000.000000,low_political_relevance
282,MariaBartiromo,1585979,True,0.000000,0.000000,0.000000,0.000000,0.000,0.000,0.000,-1000000000.000000,low_political_relevance
283,Scaramucci,1075882,True,0.000000,0.000000,0.000000,0.000000,0.000,0.000,0.000,-1000000000.000000,low_political_relevance
284,PeterHamby,99660,False,0.000000,0.000000,0.000000,0.000000,0.000,0.000,0.000,-1000000000.000000,followers_below_threshold
285,davidgregory,1451225,True,0.000000,0.000000,0.000000,0.000000,0.000,0.000,0.000,-1000000000.000000,low_political_relevance
286,JamesMLindsay,8492,False,0.000000,0.000000,0.000000,0.000000,0.000,0.000,0.000,-1000000000.000000,followers_below_threshold
287,ProSyn,217845,True,0.000000,0.000000,0.000000,0.000000,0.000,0.000,0.000,-1000000000.000000,low_political_relevance
288,Brad_Setser,143720,False,0.000000,0.000000,0.000000,0.000000,0.000,0.000,0.000,-1000000000.000000,followers_below_threshold
289,TimothyDSnyder,573758,True,0.000000,0.000000,0.000000,0.000000,0.000,0.000,0.000,-1000000000.000000,low_political_relevance
290,RealClearWorld,20288,False,0.000000,0.000000,0.000000,0.000000,0.000,0.000,0.000,-1000000000.000000,followers_below_threshold
291,reidhoffman,775985,True,0.000000,0.000000,0.000000,0.000000,0.000,0.000,0.000,-1000000000.000000,low_political_relevance
292,nxthompson,124849,False,0.000000,0.000000,0.000000,0.000000,0.000,0.000,0.000,-1000000000.000000,followers_below_threshold
293,KGeorgieva,388218,True,0.000000,0.000000,0.000000,0.000000,0.000,0.000,0.000,-1000000000.000000,low_political_relevance
294,Revkin,83645,False,0.000000,0.000000,0.000000,0.000000,0.000,0.000,0.000,-1000000000.000000,followers_below_threshold
295,gadyepstein,61547,False,0.000000,0.000000,0.000000,0.000000,0.000,0.000,0.000,-1000000000.000000,followers_below_threshold
296,JBennet,22134,False,0.000000,0.000000,0.000000,0.000000,0.000,0.000,0.000,-1000000000.000000,followers_below_threshold
297,glcarlstrom,115399,False,0.000000,0.000000,0.000000,0.000000,0.000,0.000,0.000,-1000000000.000000,followers_below_threshold
298,zannymb,50690,False,0.000000,0.000000,0.000000,0.000000,0.000,0.000,0.000,-1000000000.000000,followers_below_threshold
299,Claudiashein,4516719,True,0.000000,0.000000,0.000000,0.000000,0.000,0.000,0.000,-1000000000.000000,low_political_relevance
300,JustinTrudeau,6422791,True,0.000000,0.000000,0.000000,0.000000,0.000,0.000,0.000,-1000000000.000000,low_political_relevance
301,AlboMP,907024,True,0.000000,0.000000,0.000000,0.000000,0.000,0.000,0.000,-1000000000.000000,low_political_relevance
302,WHO,12267917,True,0.000000,0.000000,0.000000,0.000000,0.000,0.000,0.000,-1000000000.000000,low_political_relevance
303,DrTedros,2033932,True,0.000000,0.000000,0.000000,0.000000,0.000,0.000,0.000,-1000000000.000000,low_political_relevance
304,eucopresident,1216592,True,0.000000,0.000000,0.000000,0.000000,0.000,0.000,0.000,-1000000000.000000,low_political_relevance
305,yashar,712300,True,0.000000,0.000000,0.000000,0.000000,0.000,0.000,0.000,-1000000000.000000,low_political_relevance
306,chamath,1945050,True,0.000000,0.000000,0.000000,0.000000,0.000,0.000,0.000,-1000000000.000000,low_political_relevance
