rank,username,followers,eligible,sim_raw,eng_raw,sim_norm,eng_norm,spam_ratio,rt_ratio,score,error
47,BBCSport,10151116,True,0.000000,0.000000,0.000000,0.000000,0.000,0.000,-1000000000.000000,name 'TECH_KEYPHRASES' is not defined
48,SkySports,7257252,True,0.000000,0.000000,0.000000,0.000000,0.000,0.000,-1000000000.000000,name 'TECH_KEYPHRASES' is not defined
49,SportsCenter,41365180,True,0.000000,0.000000,0.000000,0.000000,0.000,0.000,-1000000000.000000,name 'TECH_KEYPHRASES' is not defined
50,kobebryant,12571516,True,0.000000,0.000000,0.000000,0.000000,0.000,0.000,-1000000000.000000,name 'TECH_KEYPHRASES' is not defined
51,jtimberlake,48089444,True,0.000000,0.000000,0.000000,0.000000,0.000,0.000,-1000000000.000000,name 'TECH_KEYPHRASES' is not defined
52,carmeloanthony,7679178,True,0.000000,0.000000,0.000000,0.000000,0.000,0.000,-1000000000.000000,name 'TECH_KEYPHRASES' is not defined
53,TheRock,15887681,True,0.000000,0.000000,0.000000,0.000000,0.000,0.000,-1000000000.000000,name 'TECH_KEYPHRASES' is not defined
54,JJWatt,5259874,True,0.000000,0.000000,0.000000,0.000000,0.000,0.000,-1000000000.000000,name 'TECH_KEYPHRASES' is not defined
55,russwest44,6118402,True,0.000000,0.000000,0.000000,0.000000,0.000,0.000,-1000000000.000000,name 'TECH_KEYPHRASES' is not defined
56,DwyaneWade,8538909,True,0.000000,0.000000,0.000000,0.000000,0.000,0.000,-1000000000.000000,name 'TECH_KEYPHRASES' is not defined
57,Sports,13066210,True,0.000000,0.000000,0.000000,0.000000,0.000,0.000,-1000000000.000000,name 'TECH_KEYPHRASES' is not defined
58,McIlroyRory,3074354,True,0.000000,0.000000,0.000000,0.000000,0.000,0.000,-1000000000.000000,name 'TECH_KEYPHRASES' is not defined
59,Drake,33771258,True,0.000000,0.000000,0.000000,0.000000,0.000,0.000,-1000000000.000000,name 'TECH_KEYPHRASES' is not defined
60,PlayersTribune,613399,True,0.000000,0.000000,0.000000,0.000000,0.000,0.000,-1000000000.000000,name 'TECH_KEYPHRASES' is not defined
61,mcuban,8556673,True,0.000000,0.000000,0.000000,0.000000,0.000,0.000,-1000000000.000000,name 'TECH_KEYPHRASES' is not defined
62,notthefakeSVP,2032628,True,0.000000,0.000000,0.000000,0.000000,0.000,0.000,-1000000000.000000,name 'TECH_KEYPHRASES' is not defined
63,RealMikeWilbon,4110165,True,0.000000,0.000000,0.000000,0.000000,0.000,0.000,-1000000000.000000,name 'TECH_KEYPHRASES' is not defined
64,BarackObama,118846086,True,0.000000,0.000000,0.000000,0.000000,0.000,0.000,-1000000000.000000,name 'TECH_KEYPHRASES' is not defined
65,KevinHart4real,31633547,True,0.000000,0.000000,0.000000,0.000000,0.000,0.000,-1000000000.000000,name 'TECH_KEYPHRASES' is not defined
66,MagicJohnson,4837682,True,0.000000,0.000000,0.000000,0.000000,0.000,0.000,-1000000000.000000,name 'TECH_KEYPHRASES' is not defined
67,rihanna,96293491,True,0.000000,0.000000,0.000000,0.000000,0.000,0.000,-1000000000.000000,name 'TECH_KEYPHRASES' is not defined
